query,expected doc_ids,expected doc_num,returned doc_ids,returned doc_num,precision,recall
alas,The Rape of Lucrece,38,The Rape of Lucrece,6,1.00,0.16
,The Merry Wives of Windsor,,"The Tragedy of Hamlet, Prince of Denmark"
,Winter's Tale,,King Lear
,As You Like It,,The First part of King Henry the Fourth
,Cymbeline,,The Life and Death of Richard the Second
,The Rape of Lucrece,,Timon of Athens
,"The Tragedy of Hamlet, Prince of Denmark",,
,Troilus and Cressida,,
,All's Well That Ends Well,,
,Loves Labours Lost,,
,Venus and Adonis,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,Much Ado About Nothing,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The Tragedy of Macbeth,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,The Comedy of Errors,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
,The Taming of the Shrew,,
,The First part of King Henry the Sixth,,
art,A Lover's Complaint,41,A Lover's Complaint,10,1.00,0.24
,The Merry Wives of Windsor,,The Life of King Henry the Eighth
,Winter's Tale,,Venus and Adonis
,As You Like It,,Much Ado About Nothing
,Cymbeline,,The Merchant of Venice
,The Rape of Lucrece,,The Life of King Henry the Fifth
,"The Tragedy of Hamlet, Prince of Denmark",,The Taming of the Shrew
,Troilus and Cressida,,The Tragedy of Coriolanus
,All's Well That Ends Well,,The Merry Wives of Windsor
,A Lover's Complaint,,The Rape of Lucrece
,Loves Labours Lost,,
,Venus and Adonis,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,Much Ado About Nothing,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The Tragedy of Macbeth,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,A FUNERAL ELEGY.,,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,The Comedy of Errors,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
,The Taming of the Shrew,,
,The First part of King Henry the Sixth,,
aye,The Life of King Henry the Fifth,39,The Life of King Henry the Fifth,9,0.89,0.21
,The Merry Wives of Windsor,,The Merry Wives of Windsor
,Winter's Tale,,As You Like It
,As You Like It,,The Rape of Lucrece
,Cymbeline,,A Lover's Complaint
,The Rape of Lucrece,,Loves Labours Lost
,"The Tragedy of Hamlet, Prince of Denmark",,The Life and Death of Julius Caesar
,Troilus and Cressida,,Much Ado About Nothing
,All's Well That Ends Well,,The Tragedy of Macbeth
,Loves Labours Lost,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,Much Ado About Nothing,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The Tragedy of Macbeth,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,A FUNERAL ELEGY.,,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,The Comedy of Errors,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
,The Taming of the Shrew,,
,The First part of King Henry the Sixth,,
beseech,Venus and Adonis,36,Venus and Adonis,8,1.00,0.22
,The Merry Wives of Windsor,,Two Gentlemen of Verona
,Winter's Tale,,The Life and Death of King John
,As You Like It,,The Comedy of Errors
,Cymbeline,,The Life and Death of Julius Caesar
,"The Tragedy of Hamlet, Prince of Denmark",,A Midsummer Night's Dream
,Troilus and Cressida,,As You Like It
,All's Well That Ends Well,,The Taming of the Shrew
,A Lover's Complaint,,
,Loves Labours Lost,,
,Venus and Adonis,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,Much Ado About Nothing,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,The Comedy of Errors,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
,The Taming of the Shrew,,
betwixt,Titus Andronicus,19,Titus Andronicus,4,1.00,0.21
,As You Like It,,The Life and Death of King John
,Cymbeline,,The Third part of King Henry the Sixth
,All's Well That Ends Well,,Antony and Cleopatra
,The Life and Death of Julius Caesar,,
,Much Ado About Nothing,,
,King Lear,,
,The Life and Death of Richard the Third,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,The Third part of King Henry the Sixth,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,Measure for Measure,,
,The First part of King Henry the Sixth,,
blest,As You Like It,33,As You Like It,6,1.00,0.18
,The Merry Wives of Windsor,,"The Tragedy of Hamlet, Prince of Denmark"
,Winter's Tale,,Troilus and Cressida
,As You Like It,,Venus and Adonis
,Cymbeline,,The Tempest
,"The Tragedy of Hamlet, Prince of Denmark",,The Life and Death of Julius Caesar
,Troilus and Cressida,,
,All's Well That Ends Well,,
,Venus and Adonis,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,A FUNERAL ELEGY.,,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
brave,The Rape of Lucrece,33,The Rape of Lucrece,8,1.00,0.24
,Winter's Tale,,The Merchant of Venice
,As You Like It,,The Life of King Henry the Eighth
,Cymbeline,,Measure for Measure
,The Rape of Lucrece,,Much Ado About Nothing
,"The Tragedy of Hamlet, Prince of Denmark",,King Lear
,Troilus and Cressida,,Timon of Athens
,All's Well That Ends Well,,A Midsummer Night's Dream
,Loves Labours Lost,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,Much Ado About Nothing,,
,King Lear,,
,The Life and Death of Richard the Third,,
,The Tragedy of Macbeth,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,Romeo and Juliet,,
,Measure for Measure,,
,The Taming of the Shrew,,
,The First part of King Henry the Sixth,,
cast,The Merry Wives of Windsor,37,The Merry Wives of Windsor,8,1.00,0.22
,The Merry Wives of Windsor,,Troilus and Cressida
,Winter's Tale,,Loves Labours Lost
,As You Like It,,Venus and Adonis
,Cymbeline,,The Life and Death of Richard the Third
,The Rape of Lucrece,,The First part of King Henry the Fourth
,"The Tragedy of Hamlet, Prince of Denmark",,The Third part of King Henry the Sixth
,Troilus and Cressida,,The Merchant of Venice
,Loves Labours Lost,,
,Venus and Adonis,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The Tragedy of Macbeth,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,Titus Andronicus,,
,The Life and Death of King John,,
,"Othello, the Moore of Venice",,
,A FUNERAL ELEGY.,,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,Timon of Athens,,
,The Second part of King Henry the Sixth,,
,The Merchant of Venice,,
,The Life of King Henry the Eighth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,Romeo and Juliet,,
,"Pericles, Prince of Tyre",,
,Measure for Measure,,
,The Taming of the Shrew,,
,The First part of King Henry the Sixth,,
chide,The Merry Wives of Windsor,27,The Merry Wives of Windsor,7,0.86,0.22
,Winter's Tale,,Cymbeline
,As You Like It,,"The Tragedy of Hamlet, Prince of Denmark"
,Cymbeline,,All's Well That Ends Well
,The Rape of Lucrece,,The Tempest
,"The Tragedy of Hamlet, Prince of Denmark",,The Life and Death of Richard the Third
,Troilus and Cressida,,Twelfth Night
,All's Well That Ends Well,,
,Loves Labours Lost,,
,Venus and Adonis,,
,The Tempest,,
,The Life and Death of Julius Caesar,,
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
,Two Gentlemen of Verona,,
,The First part of King Henry the Fourth,,
,The Life and Death of Richard the Second,,
,"Othello, the Moore of Venice",,
,The Tragedy of Coriolanus,,
,The Second part of King Henry the Fourth,,
,The Third part of King Henry the Sixth,,
,The Second part of King Henry the Sixth,,
,Antony and Cleopatra,,
,A Midsummer Night's Dream,,
,Romeo and Juliet,,
,The Taming of the Shrew,,
clamor,As You Like It,11,As You Like It,2,1.00,0.18
,Venus and Adonis,,Venus and Adonis
,King Lear,,
,The Life and Death of Richard the Third,,
,Twelfth Night,,
